Rank,Title,Start Year,End Year,Genres,Rating,Vote Count
194,Flight of the Conchords,2007,2009,"['Comedy', 'Music', 'Musical']",8.5,68314
195,The Queen's Gambit,2020,2020,['Drama'],8.5,619624
196,The IT Crowd,2006,2013,['Comedy'],8.5,171265
197,Rocket Boys,2022,,"['Drama', 'History']",8.8,19435
198,Coupling,2000,2004,"['Comedy', 'Romance']",8.5,49278
199,Solo Leveling,2024,,"['Animation', 'Action', 'Adventure']",8.6,78289
200,Black Sun,2017,2020,"['Crime', 'Drama', 'Thriller']",8.8,13332
201,Mr. Robot,2015,2019,"['Crime', 'Drama', 'Thriller']",8.5,442116
202,Ezel,2009,2011,"['Crime', 'Drama', 'Thriller']",8.6,40896
203,Making a Murderer,2015,2018,"['Documentary', 'Crime']",8.5,106047
204,I'm Alan Partridge,1997,2002,['Comedy'],8.6,23149
205,Samurai Jack,2001,2017,"['Animation', 'Action', 'Adventure']",8.5,63617
206,The Bear,2022,,"['Comedy', 'Drama']",8.5,271089
207,Detectorists,2014,2022,['Comedy'],8.6,24036
208,Happy Valley,2014,2023,"['Crime', 'Drama', 'Thriller']",8.5,69664
209,Andor,2022,2025,"['Action', 'Adventure', 'Drama']",8.5,223420
210,Yellowstone,2018,2024,"['Drama', 'Western']",8.6,277042
211,Impractical Jokers,2011,,"['Comedy', 'Reality-TV']",8.6,49278
212,Long Way Round,2004,2010,"['Documentary', 'Adventure']",8.6,16417
213,Regular Show,2010,2017,"['Animation', 'Action', 'Adventure']",8.6,67088
214,Spaced,1999,2001,['Comedy'],8.5,59602
215,The Rehearsal,2022,,"['Documentary', 'Comedy']",8.5,30957
216,Spartacus,2010,2013,"['Action', 'Adventure', 'Biography']",8.5,267021
217,Derry Girls,2018,2022,['Comedy'],8.5,69162
218,Jujutsu Kaisen,2020,,"['Animation', 'Action', 'Adventure']",8.5,155377
219,Twin Peaks,2017,2017,"['Crime', 'Drama', 'Horror']",8.5,83403
220,Whose Line Is It Anyway?,1998,2007,"['Comedy', 'Game-Show']",8.5,48066
221,Sons of Anarchy,2008,2014,"['Crime', 'Drama', 'Thriller']",8.5,340815
222,Mob Psycho 100,2016,2022,"['Animation', 'Action', 'Comedy']",8.5,56109
223,Louie,2010,2015,"['Comedy', 'Drama']",8.5,84196
224,The Eric Andre Show,2012,,"['Comedy', 'Talk-Show']",8.5,23237
225,Alchemy of Souls,2022,2023,"['Action', 'Drama', 'Fantasy']",8.7,23382
226,Through the Wormhole,2010,2017,['Documentary'],8.6,19153
227,The Office,2001,2003,"['Comedy', 'Drama']",8.5,128527
228,Trailer Park Boys,2001,2026,"['Comedy', 'Crime']",8.5,54839
229,Neon Genesis Evangelion,1995,1996,"['Animation', 'Action', 'Drama']",8.5,98235
230,Spartacus: Gods of the Arena,2011,2011,"['Action', 'Adventure', 'Biography']",8.5,150439
231,My Brilliant Friend,2018,2024,['Drama'],8.6,21697
232,Schitt's Creek,2015,2020,['Comedy'],8.5,161946
233,Silicon Valley,2014,2019,['Comedy'],8.5,174893
234,Brass Eye,1997,2001,['Comedy'],8.6,12304
235,Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,1999,1999,"['Animation', 'Action', 'Adventure']",8.6,17400
236,Skam,2015,2017,"['Drama', 'Romance']",8.6,41075
237,Shameless,2011,2021,"['Comedy', 'Drama']",8.5,312052
238,Futurama,1999,,"['Animation', 'Adventure', 'Comedy']",8.5,271481
239,Fullmetal Alchemist,2003,2004,"['Animation', 'Action', 'Adventure']",8.5,82317
240,All Creatures Great & Small,2020,,"['Comedy', 'Drama']",8.6,20120
241,The Expanse,2015,2022,"['Drama', 'Mystery', 'Sci-Fi']",8.5,183816
242,North & South,2004,2004,"['Drama', 'Romance']",8.5,36811
243,Hannibal,2013,2015,"['Crime', 'Drama', 'Horror']",8.5,293003
244,Formula 1: Drive to Survive,2019,,"['Documentary', 'Sport']",8.5,56356
245,Doctor Who,2005,2022,"['Adventure', 'Drama', 'Sci-Fi']",8.5,257645
246,Avrupa Yakasi,2004,2009,['Comedy'],8.6,22925
247,Gintama,2005,2021,"['Animation', 'Action', 'Comedy']",8.7,18419
248,Extraordinary Attorney Woo,2022,2022,['Drama'],8.6,33538
249,Wentworth,2013,2021,"['Crime', 'Drama', 'Thriller']",8.6,26214
250,Sapne Vs Everyone,2023,,['Drama'],9.3,73827
